timestamps,TP9,AF7,AF8,TP10
1613700336.312,69.824,46.875,-0.977,28.809
1613700336.316,199.219,49.805,-1.953,52.734
1613700336.320,0.488,41.016,-3.418,27.344
1613700336.324,-144.043,42.480,-3.418,-5.859
1613700336.327,1.465,39.551,-8.301,8.301
1613700336.331,177.246,26.855,-12.695,35.156
1613700336.335,46.875,23.926,-10.742,18.066
1613700336.339,-156.250,23.438,-13.672,-19.531
1613700336.343,-88.867,20.996,-13.184,-13.672
1613700336.347,124.023,20.996,-13.184,26.367
1613700336.351,106.934,20.996,-20.020,42.969
1613700336.354,-124.512,20.020,-20.508,-5.859
1613700336.358,-167.969,17.090,-21.484,-43.945
1613700336.362,57.129,15.137,-23.926,-1.953
1613700336.366,141.113,12.207,-17.578,20.020
1613700336.370,-74.219,13.672,-9.766,-16.113
1613700336.374,-173.828,13.184,-8.789,-30.762
1613700336.378,17.578,14.160,-10.254,0.000
1613700336.382,172.363,15.137,-16.602,28.320
1613700336.385,-6.836,21.484,-18.066,0.000
1613700336.389,-172.852,27.832,-16.602,-30.762
1613700336.393,-46.875,25.879,-19.043,-10.254
1613700336.397,159.180,20.020,-23.438,17.578
1613700336.401,61.523,7.324,-28.809,-9.277
1613700336.405,-145.996,0.977,-28.809,-43.457
1613700336.409,-106.445,-6.348,-30.762,-34.668
1613700336.412,116.211,-5.859,-33.691,-0.488
1613700336.416,114.258,-0.488,-34.668,-0.977
1613700336.420,-125.000,-5.859,-35.156,-45.410
1613700336.424,-163.574,-12.207,-35.645,-57.129
1613700336.428,52.246,-17.578,-40.527,-29.297
1613700336.432,149.414,-23.926,-41.016,-15.137
1613700336.436,-68.359,-24.414,-32.227,-37.598
1613700336.439,-198.242,-23.438,-33.203,-56.641
1613700336.443,-16.113,-24.902,-34.180,-31.738
1613700336.447,144.043,-22.461,-33.203,-2.930
1613700336.451,-29.297,-20.996,-39.551,-31.738
1613700336.455,-200.684,-19.531,-33.691,-66.895
1613700336.459,-75.684,-13.184,-22.461,-53.223
1613700336.463,131.348,-14.160,-25.879,-21.973
1613700336.466,49.316,-20.508,-30.273,-28.320
1613700336.470,-171.875,-18.555,-33.203,-63.965
1613700336.474,-145.020,-15.137,-38.086,-58.105
1613700336.478,87.402,-16.602,-42.480,-24.902
1613700336.482,99.121,-15.137,-45.898,-26.855
1613700336.486,-137.207,-10.742,-46.387,-66.895
1613700336.490,-182.129,-12.207,-39.062,-72.266
1613700336.494,35.156,-11.719,-36.621,-23.438
1613700336.497,141.113,-10.254,-33.691,4.395
1613700336.501,-63.477,-15.137,-31.250,-28.320
1613700336.505,-189.453,-10.254,-28.809,-46.387
1613700336.509,-29.297,-4.883,-32.715,-18.066
1613700336.513,153.320,-9.277,-35.156,8.301
1613700336.517,4.883,-18.555,-39.551,-20.996
1613700336.521,-189.941,-22.949,-55.664,-61.523
1613700336.524,-91.797,-23.438,-64.453,-49.316
1613700336.528,123.047,-29.785,-67.871,-18.066
1613700336.532,52.734,-46.875,-79.102,-37.598
1613700336.536,-181.152,-48.828,-79.102,-69.824
1613700336.540,-156.738,-35.156,-64.941,-49.316
1613700336.544,78.613,-26.855,-57.617,-11.230
1613700336.548,124.512,-14.160,-50.293,-4.883
1613700336.551,-105.957,-12.207,-46.387,-33.691
1613700336.555,-187.012,-24.902,-43.457,-47.363
1613700336.559,17.578,-33.203,-42.969,-20.020
1613700336.563,134.277,-26.855,-45.410,-1.465
1613700336.567,-69.336,-17.578,-43.457,-37.598
1613700336.571,-213.379,-30.762,-42.480,-68.359
1613700336.575,-64.453,-32.715,-42.969,-46.875
1613700336.579,118.164,-20.020,-40.039,-22.461
1613700336.582,-12.207,-17.578,-38.574,-38.574
1613700336.586,-215.332,-20.508,-37.598,-61.035
1613700336.590,-137.695,-20.508,-33.203,-56.152
1613700336.594,90.332,-14.160,-32.715,-20.508
1613700336.598,45.898,-15.625,-32.715,-19.043
1613700336.602,-191.406,-19.531,-34.180,-55.176
1613700336.606,-187.988,-15.625,-33.203,-55.176
1613700336.609,47.852,-19.531,-34.180,-33.691
1613700336.613,95.703,-21.973,-38.574,-31.738
1613700336.617,-134.277,-11.719,-37.109,-52.734
1613700336.621,-201.172,0.488,-25.391,-67.383
1613700336.625,4.883,1.953,-18.555,-36.621
1613700336.629,141.113,0.488,-17.578,-9.277
1613700336.633,-48.828,2.930,-16.113,-41.016
1613700336.636,-200.195,-2.441,-19.531,-73.242
1613700336.640,-62.988,-5.371,-19.531,-58.594
1613700336.644,126.465,-9.766,-19.531,-24.414
1613700336.648,18.066,-11.719,-23.438,-36.133
1613700336.652,-187.500,-20.996,-30.273,-74.707
1613700336.656,-133.789,-31.250,-35.645,-66.406
1613700336.660,87.891,-25.391,-26.855,-17.090
1613700336.663,74.219,-20.508,-23.926,-17.090
1613700336.667,-151.855,-18.555,-22.949,-61.523
1613700336.671,-170.410,-12.207,-15.625,-58.105
1613700336.675,56.641,-8.301,-21.973,-24.414
1613700336.679,121.582,-10.742,-30.273,-18.066
