timestamps,TP9,AF7,AF8,TP10,Marker0
1614034686.927,-1000.000,-1000.000,-535.645,872.559,1
1614034686.931,-253.906,-265.625,-527.832,300.293,69
1614034686.935,-771.973,-805.176,-604.004,-1000.000,69
1614034686.939,172.363,194.824,-648.926,-1000.000,69
1614034686.943,-1000.000,-1000.000,-542.480,152.344,69
1614034686.947,5.371,-418.945,-466.309,96.191,69
1614034686.951,-851.562,954.590,-635.742,-984.375,69
1614034686.955,611.328,586.426,-659.668,-1000.000,69
1614034686.959,-1000.000,-963.379,-483.887,-99.609,69
1614034686.962,-669.922,-1000.000,-532.715,930.664,69
1614034686.966,891.602,286.621,-626.953,-495.605,69
1614034686.970,-895.508,-895.996,-651.855,-1000.000,69
1614034686.974,-216.309,-296.387,-437.012,-210.938,69
1614034686.978,-1000.000,-1000.000,-540.527,-833.496,69
1614034686.982,83.496,-216.309,-544.922,234.375,69
1614034686.986,-761.719,-833.008,-612.305,-1000.000,69
1614034686.990,195.801,222.656,-563.477,-271.973,69
1614034686.994,-1000.000,-1000.000,-503.906,-823.730,69
1614034686.998,-271.973,-373.047,-429.199,615.234,69
1614034687.001,-801.270,-850.586,-603.027,-1000.000,69
1614034687.005,334.961,291.504,-702.637,-490.234,69
1614034687.009,-1000.000,-1000.000,-527.344,989.746,69
1614034687.013,-432.129,-852.051,-411.133,-900.391,69
1614034687.017,-888.184,767.090,-555.176,-314.941,69
1614034687.021,701.172,709.473,-717.285,-968.262,69
1614034687.025,-916.992,-874.023,-512.207,573.242,69
1614034687.029,-937.500,-1000.000,-387.695,-784.668,69
1614034687.033,564.941,15.625,-416.992,175.293,69
1614034687.037,-816.895,-841.797,-649.414,-1000.000,69
1614034687.040,-64.453,-122.070,-505.859,-165.039,69
1614034687.044,-1000.000,-1000.000,-429.199,-768.555,69
1614034687.048,-33.203,-224.121,-278.320,213.379,69
1614034687.052,-766.113,-828.613,-461.426,-1000.000,69
1614034687.056,205.078,244.629,-610.352,-274.414,69
1614034687.060,-1000.000,-1000.000,-483.398,-829.590,69
1614034687.064,-274.902,-498.535,-431.641,617.188,69
1614034687.068,-809.082,-901.855,-648.926,-1000.000,69
1614034687.072,435.547,400.391,-725.098,-686.523,69
1614034687.076,-1000.000,-1000.000,-504.883,932.617,69
1614034687.080,-543.457,-934.570,-480.957,994.141,69
1614034687.083,985.840,609.863,-630.371,-431.641,69
1614034687.087,973.145,894.531,-705.566,-1000.000,69
1614034687.091,-514.160,-637.207,-510.254,114.258,69
1614034687.095,-1000.000,-1000.000,-476.562,-767.090,69
1614034687.099,382.324,-93.262,-590.820,194.336,69
1614034687.103,-777.344,-833.008,-707.520,-1000.000,69
1614034687.107,73.730,12.695,-442.383,-271.973,69
1614034687.111,-1000.000,-1000.000,-447.754,-798.340,69
1614034687.115,-150.879,-234.863,-526.367,333.496,69
1614034687.119,-776.367,-824.219,-598.145,-1000.000,69
1614034687.122,215.332,243.652,-609.375,-378.418,69
1614034687.126,-1000.000,-1000.000,-548.340,-886.230,69
1614034687.130,-274.414,-615.234,-483.398,751.465,69
1614034687.134,-823.242,-970.703,-583.008,-829.590,69
1614034687.138,560.547,509.277,-667.969,-932.129,69
1614034687.142,-1000.000,-1000.000,-536.621,604.980,69
1614034687.146,-653.809,-1000.000,-479.492,-833.496,69
1614034687.150,893.066,294.922,-545.898,-141.602,69
1614034687.154,-895.996,-969.238,-658.203,-1000.000,69
1614034687.158,-261.230,-450.195,-562.988,-24.902,69
1614034687.161,-1000.000,-1000.000,-505.371,-770.508,69
1614034687.165,186.035,-195.801,-537.109,208.496,69
1614034687.169,-749.023,-831.543,-663.086,-1000.000,69
1614034687.173,169.434,124.512,-555.664,-254.883,69
1614034687.177,-1000.000,-1000.000,-516.602,-862.793,69
1614034687.181,-178.223,-221.680,-455.078,317.871,69
1614034687.185,-810.547,-850.098,-600.586,-1000.000,69
1614034687.189,232.910,249.023,-670.410,-524.414,69
1614034687.193,-1000.000,-1000.000,-522.461,-958.496,69
1614034687.197,-345.215,-732.910,-419.434,830.566,69
1614034687.201,-876.465,926.270,-582.520,-730.469,69
1614034687.204,706.543,613.770,-726.562,-1000.000,69
1614034687.208,-914.062,-936.035,-504.395,413.086,69
1614034687.212,-819.336,-1000.000,-426.758,-798.340,69
1614034687.216,733.887,112.305,-603.516,-28.809,69
1614034687.220,-847.168,-872.070,-712.891,-1000.000,69
1614034687.224,-151.855,-245.605,-516.602,-137.695,69
1614034687.228,-1000.000,-1000.000,-463.867,-783.691,69
1614034687.232,77.637,-217.285,-493.652,217.773,69
1614034687.236,-757.324,-833.496,-583.496,-1000.000,69
1614034687.240,195.312,226.562,-471.680,-274.414,69
1614034687.243,-1000.000,-1000.000,-461.914,-817.383,69
1614034687.247,-273.438,-434.570,-487.305,509.277,69
1614034687.251,-803.711,-875.000,-619.141,-1000.000,69
1614034687.255,371.094,299.805,-598.633,-653.809,69
1614034687.259,-1000.000,-1000.000,-441.406,926.270,69
1614034687.263,-460.449,-911.621,-485.840,-992.676,69
1614034687.267,-955.566,661.133,-595.703,-442.383,69
