timestamps,TP9,AF7,AF8,TP10
1613698910.954,-287.598,-54.199,-37.598,-112.793
1613698910.958,150.391,-49.805,-36.133,36.621
1613698910.962,291.992,-45.898,-34.668,90.820
1613698910.966,-146.973,-44.922,-32.227,-53.223
1613698910.970,-347.656,-45.898,-47.852,-139.648
1613698910.974,20.996,-41.016,-61.035,-16.602
1613698910.978,326.172,-34.180,-57.617,101.562
1613698910.981,-14.160,-38.086,-49.805,-15.137
1613698910.985,-365.234,-38.574,-36.133,-145.996
1613698910.989,-112.793,-36.621,-30.273,-70.312
1613698910.993,339.355,-31.738,-31.738,101.562
1613698910.997,139.648,-33.203,-29.785,51.758
1613698910.999,-330.566,-36.133,-24.414,-136.719
1613698911.003,-237.305,-43.457,-27.344,-121.582
1613698911.007,223.145,-38.574,-26.367,44.922
1613698911.011,228.027,-24.902,-25.879,64.453
1613698911.015,-229.492,-33.203,-29.297,-90.820
1613698911.019,-305.664,-38.574,-26.367,-122.070
1613698911.023,125.977,-35.156,-21.973,26.855
1613698911.026,306.152,-35.156,-17.090,101.074
1613698911.030,-107.910,-31.738,-16.602,-32.715
1613698911.034,-333.008,-29.785,-20.508,-131.836
1613698911.038,5.371,-31.738,-17.090,-22.461
1613698911.042,345.215,-31.738,-15.137,117.676
1613698911.044,44.922,-26.367,-17.090,25.391
1613698911.048,-327.148,-30.762,-13.672,-121.582
1613698911.052,-130.371,-36.621,-11.719,-66.895
1613698911.056,296.875,-36.621,-18.555,86.426
1613698911.060,153.809,-38.086,-27.832,46.875
1613698911.064,-296.387,-36.621,-29.297,-120.117
1613698911.068,-249.023,-39.062,-27.344,-118.164
1613698911.071,205.566,-37.598,-24.902,42.480
1613698911.075,258.789,-30.273,-21.973,76.172
1613698911.079,-193.359,-37.109,-26.855,-78.613
1613698911.083,-310.547,-44.922,-32.715,-137.207
1613698911.087,91.309,-46.875,-31.250,0.977
1613698911.106,305.176,-44.434,-26.855,94.238
1613698911.110,-84.473,-39.062,-22.461,-34.180
1613698911.114,-356.934,-40.527,-22.461,-142.578
1613698911.118,-44.922,-41.016,-25.391,-42.480
1613698911.122,319.336,-41.016,-27.344,88.867
1613698911.126,49.316,-38.574,-24.414,9.766
1613698911.130,-344.727,-35.156,-20.508,-125.488
1613698911.133,-178.711,-31.250,-17.578,-73.730
1613698911.137,282.227,-28.320,-16.602,90.820
1613698911.141,177.734,-27.832,-16.602,67.383
1613698911.145,-298.340,-24.414,-15.625,-88.867
1613698911.149,-282.227,-25.879,-19.531,-95.215
1613698911.134,171.387,-28.320,-27.344,40.039
1613698911.138,260.254,-25.879,-29.785,85.938
1613698911.142,-189.941,-29.785,-29.785,-61.035
1613698911.146,-345.215,-32.715,-33.691,-136.719
1613698911.150,50.293,-31.738,-36.133,-7.324
1613698911.154,314.941,-37.598,-36.133,98.633
1613698911.158,-52.734,-42.480,-35.156,-24.414
1613698911.161,-359.863,-39.551,-35.645,-145.020
1613698911.165,-76.660,-35.645,-32.227,-55.176
1613698911.169,325.684,-37.598,-30.762,91.797
1613698911.173,89.355,-36.133,-33.691,33.203
1613698911.177,-344.238,-34.180,-38.574,-115.234
1613698911.179,-213.867,-32.715,-45.410,-100.098
1613698911.183,240.234,-41.504,-44.922,48.340
1613698911.187,186.035,-49.805,-43.945,50.781
1613698911.191,-274.414,-50.293,-41.016,-104.492
1613698911.195,-308.594,-47.363,-33.691,-129.883
1613698911.199,133.301,-44.922,-31.738,29.785
1613698911.203,277.832,-38.574,-38.086,90.332
1613698911.206,-153.320,-42.969,-42.969,-67.871
1613698911.210,-355.957,-50.781,-44.922,-153.320
1613698911.214,1.465,-47.852,-46.875,-32.715
1613698911.218,299.805,-47.363,-41.992,84.473
1613698911.222,-32.227,-45.898,-35.156,-16.602
1613698911.239,-367.676,-49.316,-40.039,-139.160
1613698911.243,-135.742,-52.246,-43.945,-64.941
1613698911.247,282.715,-49.805,-41.504,83.496
1613698911.251,102.539,-48.828,-41.504,23.438
1613698911.255,-341.309,-51.270,-42.480,-134.766
1613698911.259,-257.324,-61.035,-50.781,-127.930
1613698911.263,210.938,-57.129,-51.270,29.785
1613698911.266,212.402,-54.199,-42.969,53.223
1613698911.270,-257.324,-57.617,-45.410,-102.051
1613698911.274,-326.172,-51.758,-41.504,-138.184
1613698911.278,103.027,-50.293,-39.062,4.883
1613698911.282,282.227,-49.805,-38.574,77.637
1613698911.284,-137.207,-46.875,-37.109,-51.758
1613698911.288,-369.629,-47.852,-38.574,-151.855
1613698911.292,-27.344,-50.781,-38.086,-56.152
1613698911.296,309.082,-49.805,-39.062,75.684
1613698911.300,-2.441,-59.082,-53.223,-24.414
1613698911.304,-379.883,-71.289,-60.547,-166.504
1613698911.308,-165.039,-66.895,-53.223,-101.562
1613698911.311,273.438,-62.012,-49.805,65.918
1613698911.315,134.277,-59.570,-44.922,46.875
1613698911.319,-316.406,-57.617,-49.805,-115.723
1613698911.323,-265.625,-52.246,-50.293,-114.746
1613698911.327,192.871,-51.758,-47.852,36.133
1613698911.330,219.238,-63.477,-62.012,56.152
1613698911.334,-237.305,-61.035,-57.129,-92.285
1613698911.338,-335.449,-53.711,-46.875,-147.461
1613698911.342,81.543,-55.176,-47.852,-10.254
1613698911.346,306.152,-49.805,-38.086,87.402
1613698911.350,-83.008,-45.410,-34.180,-35.156
1613698911.354,-349.609,-50.781,-40.527,-138.672
1613698911.357,-47.852,-55.176,-45.898,-50.781
1613698911.361,315.430,-51.758,-41.016,92.285
1613698911.365,53.223,-52.734,-35.156,14.160
1613698911.369,-350.098,-58.594,-38.574,-140.137
1613698911.373,-181.152,-60.547,-39.062,-89.355
1613698911.374,273.438,-58.594,-38.086,74.219
1613698911.378,173.828,-61.035,-37.109,55.176
1613698911.382,-285.645,-60.547,-36.621,-113.281
1613698911.386,-278.320,-58.105,-38.574,-134.766
1613698911.390,174.316,-56.152,-41.504,20.996
1613698911.394,250.977,-53.711,-41.016,64.453
1613698911.398,-200.195,-53.711,-34.668,-82.031
1613698911.401,-338.379,-53.711,-34.668,-132.812
1613698911.405,48.340,-54.688,-39.551,-3.906
1613698911.409,318.848,-54.199,-51.270,94.727
1613698911.413,-39.551,-52.734,-66.406,-16.602
1613698911.417,-348.145,-51.270,-71.289,-133.789
1613698911.419,-77.637,-48.828,-71.777,-64.453
1613698911.423,324.219,-45.410,-62.988,83.496
1613698911.427,105.469,-46.387,-44.922,34.668
1613698911.431,-320.312,-50.293,-45.410,-125.488
1613698911.435,-200.195,-45.410,-51.270,-107.422
1613698911.439,256.836,-41.992,-42.969,61.035
1613698911.443,209.473,-41.504,-41.504,64.941
1613698911.446,-256.836,-45.410,-41.504,-96.680
1613698911.450,-292.969,-46.387,-41.504,-127.441
1613698911.454,148.926,-43.457,-43.945,15.137
1613698911.458,289.062,-48.828,-40.527,80.078
1613698911.462,-146.973,-46.387,-39.062,-57.617
1613698911.479,-341.309,-48.340,-44.434,-146.973
1613698911.483,34.180,-48.340,-40.527,-23.926
1613698911.487,330.078,-41.992,-35.156,106.445
1613698911.491,-11.230,-37.109,-37.109,3.418
1613698911.495,-352.539,-33.203,-40.527,-136.719
1613698911.499,-114.746,-36.621,-38.574,-66.895
1613698911.503,305.176,-38.086,-34.180,92.285
1613698911.506,119.629,-40.039,-39.062,43.945
1613698911.510,-316.406,-46.875,-39.062,-116.211
1613698911.514,-226.562,-48.828,-37.109,-105.469
1613698911.518,232.910,-48.340,-33.203,56.152
1613698911.522,223.145,-48.828,-31.738,71.289
1613698911.524,-235.352,-39.062,-33.203,-91.309
1613698911.528,-305.664,-33.691,-31.250,-129.395
1613698911.532,107.910,-41.016,-31.738,20.020
1613698911.536,286.621,-39.551,-31.738,97.168
1613698911.540,-116.211,-33.691,-26.855,-36.133
1613698911.544,-353.516,-43.945,-34.180,-131.836
1613698911.548,-31.250,-56.641,-45.898,-35.645
1613698911.551,317.383,-52.246,-38.574,100.586
1613698911.555,24.414,-41.504,-30.762,13.672
1613698911.559,-351.074,-40.527,-28.320,-122.559
1613698911.563,-147.949,-41.504,-33.203,-65.430
1613698911.567,292.480,-37.598,-35.156,97.656
1613698911.554,145.020,-39.062,-33.691,64.941
1613698911.558,-296.387,-39.551,-34.180,-91.309
1613698911.562,-238.281,-36.621,-38.574,-81.055
1613698911.566,200.684,-37.109,-52.734,58.105
1613698911.570,250.000,-41.016,-60.059,84.961
1613698911.574,-216.309,-44.434,-61.523,-69.336
1613698911.578,-336.426,-46.387,-60.547,-124.023
1613698911.581,81.543,-46.387,-59.082,1.953
1613698911.585,307.617,-50.293,-57.617,92.285
1613698911.589,-91.309,-54.199,-56.152,-24.414
1613698911.593,-375.488,-52.734,-57.129,-143.555
1613698911.597,-58.105,-49.805,-54.199,-53.223
1613698911.629,315.918,-46.387,-52.246,86.426
1613698911.633,43.457,-43.457,-52.734,12.207
1613698911.637,-353.516,-41.992,-48.828,-134.766
1613698911.641,-179.688,-47.363,-50.293,-98.633
1613698911.645,247.070,-48.828,-53.223,60.547
1613698911.649,147.949,-48.340,-45.898,61.523
1613698911.653,-280.273,-47.852,-46.875,-87.891
1613698911.656,-283.691,-45.898,-54.688,-122.070
1613698911.660,160.645,-43.945,-52.734,21.973
1613698911.664,246.582,-43.945,-51.270,74.707
1613698911.668,-213.379,-46.387,-50.293,-77.148
1613698911.672,-360.840,-49.316,-47.363,-148.438
1613698911.659,44.434,-53.223,-40.039,-6.348
1613698911.663,318.848,-43.945,-37.109,105.469
1613698911.667,-45.898,-34.668,-40.039,-14.648
1613698911.671,-349.609,-42.480,-44.434,-128.906
1613698911.675,-74.707,-44.922,-44.434,-45.898
1613698911.679,319.824,-36.621,-34.668,99.609
1613698911.683,103.027,-34.180,-26.855,41.504
1613698911.686,-314.941,-40.039,-30.762,-112.793
1613698911.690,-192.383,-43.945,-37.598,-84.473
1613698911.694,253.906,-46.875,-43.457,63.965
1613698911.698,204.102,-46.387,-43.945,56.641
1613698911.702,-257.812,-42.480,-43.945,-100.586
1613698911.704,-302.246,-49.316,-40.039,-125.000
1613698911.708,137.695,-54.688,-33.691,29.297
1613698911.712,280.762,-53.223,-32.715,85.449
1613698911.716,-151.367,-48.340,-28.809,-56.641
1613698911.720,-346.191,-44.434,-19.531,-125.488
1613698911.724,12.695,-48.828,-12.695,-17.578
1613698911.728,313.477,-48.828,-12.695,94.727
1613698911.731,-20.020,-44.922,-7.324,-1.953
1613698911.735,-362.793,-44.434,-8.301,-136.719
1613698911.739,-113.770,-45.410,-12.695,-77.637
1613698911.743,298.340,-47.363,-13.184,64.453
1613698911.747,108.398,-47.852,-10.254,23.438
1613698911.779,-322.754,-45.898,-4.883,-119.629
1613698911.783,-237.305,-45.898,-8.789,-108.887
1613698911.787,225.098,-44.922,-9.277,50.293
1613698911.791,224.609,-44.434,-7.324,73.730
1613698911.795,-248.535,-56.641,-16.113,-87.402
1613698911.799,-322.266,-57.129,-17.090,-126.953
1613698911.803,106.934,-47.363,-10.742,15.625
1613698911.806,289.551,-45.410,-9.277,93.750
1613698911.810,-122.070,-43.945,-11.230,-39.551
1613698911.814,-355.469,-45.410,-15.625,-143.066
1613698911.818,-13.184,-47.363,-16.602,-38.574
1613698911.822,320.801,-41.504,-14.160,98.145
1613698911.794,12.695,-41.016,-16.602,-2.930
1613698911.798,-354.004,-46.875,-20.020,-147.949
1613698911.802,-145.020,-43.457,-20.996,-82.031
1613698911.806,287.109,-45.410,-23.926,74.219
1613698911.810,140.625,-44.434,-21.973,35.645
1613698911.814,-299.805,-33.691,-20.508,-113.281
1613698911.818,-245.117,-31.738,-19.043,-105.469
1613698911.821,204.590,-34.668,-23.926,43.457
1613698911.825,258.789,-39.062,-26.855,71.289
1613698911.829,-194.336,-39.551,-16.602,-76.660
1613698911.833,-314.941,-40.039,-16.113,-128.418
1613698911.837,96.680,-41.504,-22.949,0.977
1613698911.839,319.336,-41.016,-23.926,83.496
1613698911.843,-76.660,-43.457,-24.414,-41.016
1613698911.847,-355.957,-40.527,-26.855,-140.625
1613698911.851,-44.434,-39.551,-24.414,-42.969
1613698911.855,333.496,-41.504,-29.785,96.191
1613698911.859,60.059,-42.480,-31.738,13.184
1613698911.863,-345.215,-41.016,-28.809,-129.883
1613698911.866,-184.570,-43.457,-34.668,-84.961
1613698911.870,259.766,-51.758,-41.504,62.500
1613698911.874,166.504,-52.246,-53.223,51.270
1613698911.878,-295.410,-55.176,-65.918,-104.980
1613698911.882,-294.434,-55.664,-71.777,-134.277
1613698911.885,163.086,-55.176,-67.871,14.160
1613698911.889,258.789,-55.176,-53.223,70.312
1613698911.893,-200.195,-50.293,-40.039,-84.473
1613698911.897,-354.492,-47.852,-35.645,-158.203
1613698911.901,43.945,-48.828,-39.062,-27.832
1613698911.905,311.035,-53.223,-38.086,81.055
1613698911.909,-53.711,-51.758,-35.156,-33.691
1613698911.912,-358.398,-47.363,-37.109,-156.250
1613698911.916,-83.984,-50.781,-33.203,-76.660
1613698911.920,310.059,-58.594,-34.180,66.406
1613698911.924,84.473,-59.570,-37.109,8.789
1613698911.928,-336.914,-52.734,-35.645,-139.160
1613698911.961,-205.566,-49.316,-34.180,-108.398
1613698911.965,250.000,-46.387,-30.273,55.664
1613698911.969,196.777,-45.410,-35.645,49.805
1613698911.973,-268.555,-48.340,-35.645,-108.398
1613698911.977,-282.715,-48.828,-33.203,-125.488
1613698911.981,162.598,-45.898,-35.645,23.438
1613698911.985,278.809,-40.039,-35.645,77.148
1613698911.988,-148.926,-38.086,-35.645,-59.082
1613698911.992,-343.262,-42.969,-37.598,-134.766
1613698911.996,16.602,-41.504,-40.527,-21.484
1613698912.000,311.035,-41.016,-42.969,89.355
1613698912.004,-20.020,-41.504,-41.016,-17.090
1613698911.989,-356.934,-41.504,-35.645,-143.555
1613698911.993,-113.281,-39.551,-35.645,-73.730
1613698911.997,299.316,-40.527,-36.621,78.125
1613698912.001,114.746,-43.457,-34.180,28.809
1613698912.005,-314.453,-46.387,-36.621,-125.488
1613698912.009,-222.656,-43.945,-33.691,-99.121
1613698912.013,241.699,-38.086,-27.344,62.988
1613698912.016,236.816,-46.387,-32.715,75.195
1613698912.020,-240.723,-50.781,-38.086,-78.125
1613698912.024,-319.336,-46.387,-38.574,-119.629
1613698912.028,119.141,-43.457,-38.574,18.066
1613698912.032,303.223,-40.039,-37.598,93.750
1613698912.049,-116.699,-38.574,-37.109,-45.410
1613698912.053,-360.352,-47.363,-33.691,-136.230
1613698912.057,-16.113,-48.828,-36.133,-30.762
1613698912.061,332.520,-46.387,-43.457,88.379
1613698912.065,26.855,-49.316,-38.086,0.977
1613698912.069,-344.238,-55.176,-37.109,-128.906
1613698912.073,-134.766,-56.641,-39.551,-64.453
1613698912.076,302.246,-58.105,-35.156,87.402
1613698912.080,163.086,-58.594,-33.203,58.594
1613698912.084,-284.668,-53.711,-38.086,-92.773
1613698912.088,-237.793,-52.734,-34.668,-100.098
1613698912.092,212.402,-48.340,-25.879,53.711
1613698912.079,256.836,-47.852,-23.926,89.844
1613698912.083,-197.266,-50.293,-25.879,-61.523
1613698912.087,-312.012,-52.734,-33.691,-122.070
1613698912.091,97.168,-53.711,-35.645,12.695
