timestamps,TP9,AF7,AF8,TP10
1612984613.826,92.285,369.141,-708.496,-313.477
1612984613.830,-1000.000,-1000.000,-237.793,-913.086
1612984613.834,-909.180,-939.941,-302.246,716.309
1612984613.838,668.945,661.133,-725.586,-915.527
1612984613.842,816.406,905.273,-795.410,-933.105
1612984613.846,-927.734,-770.508,-354.004,769.043
1612984613.850,-1000.000,-1000.000,-90.332,-998.535
1612984613.853,618.652,378.418,-564.453,-710.938
1612984613.857,982.422,963.867,-860.352,-1000.000
1612984613.861,-622.559,-584.473,-507.812,651.367
1612984613.865,-1000.000,-1000.000,-108.398,-905.762
1612984613.869,83.008,-424.316,-519.531,-504.395
1612984613.871,-982.910,893.555,-898.438,-1000.000
1612984613.875,-400.879,-212.891,-655.273,306.641
1612984613.879,-1000.000,-1000.000,-151.367,-796.387
1612984613.883,-657.227,-833.984,-369.629,180.664
1612984613.887,884.277,716.309,-845.215,-1000.000
1612984613.891,309.570,570.312,-769.531,-542.480
1612984613.895,-1000.000,-1000.000,-213.379,-995.117
1612984613.898,-932.617,-993.164,-66.895,830.078
1612984613.902,669.922,619.141,-708.984,-824.219
1612984613.906,880.371,957.520,-893.066,-1000.000
1612984613.910,-834.961,-676.270,-358.887,682.129
1612984613.914,-1000.000,-1000.000,-44.434,-982.422
1612984613.916,515.625,205.566,-594.238,-715.820
1612984613.920,980.469,949.707,-917.969,-1000.000
1612984613.924,-607.422,-544.922,-448.730,635.742
1612984613.928,-1000.000,-1000.000,33.691,-870.117
1612984613.932,-131.348,-560.547,-470.215,-392.090
1612984613.936,-992.188,865.723,-892.578,-1000.000
1612984613.940,-277.344,-51.270,-571.777,191.406
1612984613.943,-1000.000,-1000.000,-84.473,-793.457
1612984613.947,-748.535,-877.930,-392.578,386.719
1612984613.951,822.266,685.059,-848.633,-1000.000
1612984613.955,522.949,732.910,-771.484,-727.539
1612984613.959,-1000.000,-961.914,-344.238,914.062
1612984613.976,-958.496,-1000.000,-245.117,931.641
1612984613.980,669.922,558.105,-697.266,-746.582
1612984613.984,939.453,976.074,-854.980,-1000.000
1612984613.988,-742.676,-627.441,-442.383,678.711
1612984613.992,-1000.000,-1000.000,-158.203,-987.305
1612984613.996,434.570,25.879,-562.500,-700.684
1612984614.000,973.633,944.824,-856.934,-1000.000
1612984614.003,-594.238,-465.820,-547.852,534.668
1612984614.007,-1000.000,-1000.000,-104.492,-839.355
1612984614.011,-349.609,-681.641,-422.852,-269.043
1612984614.015,980.469,816.895,-844.238,-1000.000
1612984614.019,-138.184,145.020,-696.777,-63.477
1612984614.021,-1000.000,-1000.000,-142.090,-849.121
1612984614.025,-856.934,-911.133,-220.703,625.977
1612984614.029,717.285,672.852,-782.227,-976.562
1612984614.033,728.027,829.102,-833.496,-839.844
1612984614.037,-1000.000,-868.652,-351.074,841.309
1612984614.041,-886.719,-1000.000,-174.316,789.062
1612984614.045,703.613,521.484,-652.832,-779.785
1612984614.048,974.121,967.773,-892.090,-1000.000
1612984614.052,-635.254,-600.098,-467.773,653.809
1612984614.056,-1000.000,-1000.000,51.270,-951.660
1612984614.060,318.848,-46.875,-469.238,-626.953
1612984614.064,-995.605,991.699,-923.340,-1000.000
1612984614.066,-521.973,-370.605,-573.730,420.410
1612984614.070,-1000.000,-1000.000,-13.672,-804.199
1612984614.074,-553.711,-781.250,-388.672,-40.039
1612984614.078,926.270,755.371,-898.438,-1000.000
1612984614.082,-7.324,365.234,-701.172,-215.820
1612984614.086,-1000.000,-1000.000,-165.527,-878.418
1612984614.090,-893.555,-938.477,-213.379,695.312
1612984614.093,660.156,661.621,-790.527,-916.016
1612984614.097,822.266,907.227,-804.688,-923.340
1612984614.101,-934.570,-771.973,-305.664,780.762
1612984614.105,-1000.000,-1000.000,-170.410,999.023
1612984614.109,653.320,395.508,-658.203,-709.961
1612984614.111,978.027,964.355,-835.938,-1000.000
1612984614.115,-622.559,-585.449,-418.457,650.391
1612984614.119,-1000.000,-1000.000,-81.543,-903.320
1612984614.123,83.984,-430.664,-505.371,-500.488
1612984614.127,-985.840,889.648,-837.402,-1000.000
1612984614.131,-406.250,-214.844,-596.191,308.594
1612984614.135,-1000.000,-1000.000,-146.973,-797.363
1612984614.138,-657.227,-832.031,-409.180,158.203
1612984614.142,884.277,717.773,-805.664,-1000.000
1612984614.146,309.570,571.777,-739.746,-524.902
1612984614.150,-1000.000,-1000.000,-317.383,-990.723
1612984614.154,-932.617,-991.699,-245.117,828.125
1612984614.156,669.434,622.070,-743.164,-822.754
1612984614.160,881.836,958.008,-867.676,-1000.000
1612984614.164,-838.867,-679.688,-401.367,681.152
1612984614.168,-1000.000,-1000.000,-113.281,-982.422
1612984614.172,536.133,225.098,-611.328,-715.820
1612984614.176,979.004,951.660,-883.789,-1000.000
1612984614.180,-608.398,-548.828,-507.812,635.742
1612984614.183,-1000.000,-1000.000,-42.480,-871.094
1612984614.187,-124.023,-557.129,-319.336,-393.555
1612984614.191,-991.211,867.188,-836.426,-1000.000
1612984614.195,-281.250,-53.223,-718.750,191.406
1612984614.199,-1000.000,-1000.000,-100.586,-793.457
