timestamps,TP9,AF7,AF8,TP10
1613614628.148,-1000.000,-1000.000,7.812,-930.176
1613614628.152,-274.902,-369.629,504.395,354.492
1613614628.156,-830.078,-895.996,-607.422,-1000.000
1613614628.160,616.699,791.504,-1000.000,-1000.000
1613614628.164,-1000.000,-786.133,-311.035,426.758
1613614628.168,-648.926,-878.906,732.910,881.836
1613614628.172,907.715,669.922,-149.902,-676.758
1613614628.175,-901.367,-836.914,-1000.000,-1000.000
1613614628.179,-259.766,-107.910,-616.699,-126.465
1613614628.183,-1000.000,-1000.000,659.668,-838.379
1613614628.187,187.500,2.930,83.008,20.020
1613614628.191,-756.836,-765.625,-1000.000,-1000.000
1613614628.193,187.500,202.637,-936.523,-234.375
1613614628.197,-1000.000,-1000.000,261.719,-825.684
1613614628.201,-272.949,-275.391,363.770,239.258
1613614628.205,-794.434,-811.035,-835.449,-1000.000
1613614628.209,327.637,477.539,-1000.000,-721.680
1613614628.213,-1000.000,-1000.000,-85.938,937.988
1613614628.217,-286.133,-482.422,589.355,467.285
1613614628.220,-863.770,-973.145,-473.633,-1000.000
1613614628.224,769.531,947.266,-1000.000,-1000.000
1613614628.228,-827.148,-544.434,-450.684,174.805
1613614628.232,-809.570,-1000.000,678.223,-982.910
1613614628.236,758.301,479.980,-53.223,-462.891
1613614628.238,-844.727,-793.457,-1000.000,-1000.000
1613614628.242,-114.258,47.363,-790.039,-206.543
1613614628.246,-1000.000,-1000.000,535.156,-844.727
1613614628.250,73.730,-133.301,183.105,139.160
1613614628.254,-755.371,-777.344,-1000.000,-1000.000
1613614628.258,194.824,214.355,-952.637,-344.727
1613614628.262,-1000.000,-1000.000,210.938,-852.051
1613614628.265,-275.879,-273.926,520.020,249.023
1613614628.269,-805.664,-821.289,-632.324,-1000.000
1613614628.273,426.270,545.410,-1000.000,-785.645
1613614628.277,-1000.000,-1000.000,-175.293,855.957
1613614628.281,-462.402,-616.211,660.156,615.723
1613614628.284,-947.754,933.105,-350.098,-934.570
1613614628.288,885.742,-961.914,-1000.000,-1000.000
1613614628.292,-668.945,-373.047,-504.883,56.152
1613614628.296,-965.820,-1000.000,689.941,-854.980
1613614628.300,558.105,256.836,-23.438,-204.590
1613614628.304,-798.828,-768.066,-1000.000,-1000.000
1613614628.308,22.949,143.555,-786.621,-218.750
1613614628.311,-1000.000,-1000.000,535.156,-833.008
1613614628.315,-43.457,-229.492,190.430,244.141
1613614628.319,-760.254,-791.504,-1000.000,-1000.000
1613614628.323,203.613,271.973,-1000.000,-457.031
1613614628.327,-1000.000,-1000.000,56.641,-882.812
1613614628.328,-276.855,-319.336,472.656,258.789
1613614628.332,-817.383,-858.398,-658.203,-1000.000
1613614628.336,528.320,677.246,-1000.000,-947.266
1613614628.340,-1000.000,-932.129,-238.281,586.426
1613614628.344,-577.637,-780.762,722.168,818.848
1613614628.348,967.773,774.414,-213.379,-749.512
1613614628.352,-982.422,-876.953,-1000.000,-1000.000
1613614628.355,-445.312,-204.102,-621.094,-72.754
1613614628.359,-1000.000,-1000.000,606.445,-849.121
1613614628.363,375.000,90.332,65.918,-88.379
1613614628.367,-771.973,-762.207,-1000.000,-1000.000
1613614628.371,155.273,189.453,-903.320,-225.098
1613614628.373,-1000.000,-1000.000,336.426,-831.055
1613614628.377,-199.707,-271.973,357.422,247.070
1613614628.381,-780.762,-803.711,-863.770,-1000.000
1613614628.385,218.750,365.723,-1000.000,-561.523
1613614628.389,-1000.000,-1000.000,-76.660,-996.582
1613614628.393,-268.555,-417.480,556.152,323.730
1613614628.397,-848.633,-935.059,-482.422,-1000.000
1613614628.400,694.824,865.234,-1000.000,-1000.000
1613614628.404,-949.219,-704.102,-409.180,293.457
1613614628.408,-673.340,-886.719,724.121,901.855
1613614628.412,886.230,649.902,-101.074,-644.531
1613614628.416,-869.629,-812.988,-1000.000,-1000.000
1613614628.433,-155.762,19.531,-734.863,-197.754
1613614628.437,-1000.000,-1000.000,555.176,-861.328
1613614628.441,178.711,-10.254,110.840,35.645
1613614628.445,-750.488,-756.348,-1000.000,-1000.000
1613614628.449,186.523,200.195,-922.363,-314.453
1613614628.453,-1000.000,-1000.000,319.336,-853.516
1613614628.457,-274.414,-275.879,406.738,248.047
1613614628.460,-799.805,-814.453,-822.266,-1000.000
1613614628.464,370.117,506.348,-1000.000,-785.645
1613614628.468,-1000.000,-1000.000,-34.180,863.770
1613614628.472,-360.352,-511.230,610.352,528.809
1613614628.476,-909.668,999.512,-481.445,-993.164
1613614628.478,864.746,998.535,-1000.000,-1000.000
1613614628.482,-716.797,-458.984,-459.961,151.367
1613614628.486,-844.238,-1000.000,674.316,-940.918
1613614628.490,726.074,431.641,-69.336,-393.555
1613614628.494,-825.195,-780.762,-1000.000,-1000.000
1613614628.498,-48.828,107.910,-775.879,-206.543
1613614628.502,-1000.000,-1000.000,529.297,-846.680
1613614628.505,61.035,-156.738,169.434,143.066
1613614628.509,-751.953,-775.391,-1000.000,-1000.000
1613614628.513,194.824,239.746,-993.652,-441.406
