id,student_id,electrodo_id,banda_id,cluster_id,tau,m,Dg,LLE,H,S
1,1,1,1,1,6,5,5.990497,9.799979,0.705875,0.023163
2,1,1,2,1,6,4,3.132298,14.353509,0.709969,0.127012
3,1,1,3,1,9,4,3.333498,25.633365,0.780494,0.181871
4,1,1,4,1,8,4,4.655723,18.213365,0.842476,0.107879
5,1,1,5,1,6,4,3.104043,4.870144,0.750749,0.107848
6,1,2,1,1,8,4,2.210280,22.868578,0.780697,0.124964
7,1,2,2,1,7,4,3.837735,19.050665,0.719408,0.180957
8,1,2,3,1,7,4,4.150471,17.421943,0.761408,0.151427
9,1,2,4,1,6,4,7.363488,6.557726,0.787607,0.082969
10,1,2,5,1,7,4,4.955761,-8.847594,0.735227,0.103186
11,1,3,1,1,13,4,3.913029,-15.859049,0.813676,0.492903
12,1,3,2,1,11,5,2.934209,28.671862,0.829497,0.363487
13,1,3,3,1,16,10,3.202980,16.904851,0.818809,0.295056
14,1,3,4,1,17,5,3.328847,23.581416,0.821630,0.484342
15,1,3,5,1,17,6,3.958457,20.042031,0.838272,0.387768
16,1,4,1,1,8,4,3.486494,20.041763,0.792007,0.101764
17,1,4,2,1,7,4,4.750205,17.478970,0.790597,0.152254
18,1,4,3,1,8,4,5.678591,21.548191,0.727112,0.102702
19,1,4,4,1,6,4,3.424435,9.835893,0.769721,0.116168
20,1,4,5,1,7,4,3.879016,0.161579,0.731513,0.086524
21,1,5,1,1,8,5,1.616095,23.008948,0.724671,0.028692
22,1,5,2,1,5,4,2.771383,9.747499,0.722077,0.173360
23,1,5,3,1,7,4,2.138974,18.027620,0.758523,0.128731
24,1,5,4,1,6,4,3.912803,10.823239,0.771554,0.194704
25,1,5,5,1,6,4,3.888903,4.758401,0.721909,0.070268
26,1,1,1,2,5,5,1.833928,12.815197,0.821368,0.035273
27,1,1,2,2,4,4,2.644097,15.527473,0.830444,0.119796
28,1,1,3,2,6,4,3.342078,4.618109,0.818262,0.039103
29,1,1,4,2,4,4,2.665834,-4.527618,0.925738,0.122892
30,1,1,5,2,6,4,2.587101,-3.462330,0.801616,0.015675
31,1,2,1,2,6,3,5.663189,0.089550,0.839348,0.143136
32,1,2,2,2,5,3,1.985324,-9.916609,0.882782,0.207985
33,1,2,3,2,6,4,1.953392,-4.430860,0.883688,0.044297
34,1,2,4,2,6,4,9.155401,-6.603971,0.749836,-0.000817
35,1,2,5,2,6,3,4.240470,-6.068275,0.846580,0.144566
36,1,3,1,2,5,4,2.565370,-15.859141,0.909709,0.289517
37,1,3,2,2,13,3,2.339697,2.401766,0.920609,0.263388
38,1,3,3,2,5,4,2.293066,5.442570,0.909006,0.328973
39,1,3,4,2,9,4,2.870736,3.452216,0.915608,0.323736
40,1,3,5,2,5,4,4.011016,-3.468996,0.911563,0.258493
41,1,4,1,2,6,4,6.730610,0.759445,0.822650,0.053845
42,1,4,2,2,5,4,3.944029,-6.053939,0.821436,0.037727
43,1,4,3,2,4,4,2.024941,-5.586803,0.784417,-0.001755
44,1,4,4,2,7,5,2.751342,-4.545492,0.913910,-0.039638
45,1,4,5,2,4,4,7.987329,-2.990151,0.833655,0.015360
46,1,5,1,2,5,4,2.657392,13.403715,0.817306,0.084629
47,1,5,2,2,5,4,2.882508,10.244877,0.810790,0.066981
48,1,5,3,2,4,4,1.739773,2.547071,0.808027,0.096157
49,1,5,4,2,6,4,4.424346,-3.396037,0.889287,0.086342
50,1,5,5,2,4,4,2.870605,-5.345825,0.897760,0.052603
51,1,1,1,3,6,10,3.061710,1.991011,0.808109,-0.016819
52,1,1,2,3,5,8,2.190319,1.520881,0.819597,0.026800
53,1,1,3,3,5,5,0.000000,4.379267,0.786556,0.008150
54,1,1,4,3,5,4,7.356690,2.221521,0.766685,0.081924
55,1,1,5,3,7,4,2.067954,-12.009911,0.852438,0.072539
56,1,2,1,3,5,4,1.943896,3.458899,0.846785,0.113893
57,1,2,2,3,5,4,4.822924,2.069079,0.692424,0.063706
58,1,2,3,3,6,4,2.336226,7.996005,0.742526,0.070832
59,1,2,4,3,6,4,4.623371,-2.413168,0.801932,0.090763
60,1,2,5,3,6,4,3.415032,-3.602425,0.760642,0.049959
61,1,3,1,3,6,4,4.348711,-4.943198,0.905163,0.061080
62,1,3,2,3,8,4,3.761757,9.620753,0.776600,0.134626
63,1,3,3,3,9,4,3.080950,20.449878,0.853305,0.123369
64,1,3,4,3,5,4,1.553768,4.091608,0.778943,0.067021
65,1,3,5,3,7,4,1.265852,-8.076401,0.753685,0.029292
66,1,4,1,3,6,4,2.937616,1.825072,0.871241,0.154929
67,1,4,2,3,8,4,2.741743,18.263763,0.848958,0.130609
68,1,4,3,3,5,4,3.004000,1.740853,0.777863,0.084597
69,1,4,4,3,6,4,3.183142,-3.251248,0.806173,0.034219
70,1,4,5,3,5,4,3.595391,-3.256248,0.855891,0.080061
71,1,5,1,3,5,10,3.259107,-0.318024,0.819951,-0.012656
72,1,5,2,3,5,4,2.985309,5.582529,0.775713,0.124735
73,1,5,3,3,7,4,3.895505,12.935454,0.854292,0.018922
74,1,5,4,3,6,4,3.073781,-3.451344,0.753731,0.088141
75,1,5,5,3,7,4,3.044319,-7.445424,0.775536,0.042153
76,2,1,1,1,10,6,3.666798,27.010517,0.795720,0.052921
77,2,1,2,1,7,5,3.062449,16.215190,0.814009,0.091330
78,2,1,3,1,7,4,3.334514,18.280606,0.789371,0.215166
79,2,1,4,1,11,4,2.573368,25.076254,0.739541,0.112433
80,2,1,5,1,7,4,3.496495,12.715438,0.815704,0.155614
81,2,2,1,1,9,4,7.221724,25.173304,0.773228,0.083849
82,2,2,2,1,6,4,3.644045,11.618447,0.721041,0.131620
83,2,2,3,1,6,4,4.462150,10.650133,0.765367,0.099720
84,2,2,4,1,7,4,2.580732,11.289096,0.795505,0.091803
85,2,2,5,1,8,4,5.118358,-11.004541,0.816596,0.096352
86,2,3,1,1,10,5,2.527864,25.384629,0.707446,0.050063
87,2,3,2,1,8,4,3.462499,24.305569,0.860210,0.302774
88,2,3,3,1,7,4,3.395002,17.307728,0.819401,0.116717
